1000, 100, 50, 5, 99, 0.1227160107589395, 37, 100.0, 21, 1904, 1100, 1904.0, 19342, 14.0, 2.642857142857143
1000, 100, 50, 5, 99, 0.11265426364603373, 33, 100.0, 10, 1753, 622, 1753.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.11170700531447061, 37, 100.0, 10, 2025, 1008, 2025.0, 19342, 14.0, 2.642857142857143
1000, 100, 50, 5, 99, 0.10528850246626581, 37, 100.0, 29, 1878, 792, 1878.0, 19342, 14.0, 2.642857142857143
1000, 100, 50, 5, 99, 0.10103458119589846, 39, 100.0, 7, 2137, 1386, 2137.0, 19342, 14.0, 2.7857142857142856
1000, 100, 50, 5, 99, 0.11291716497977489, 32, 100.0, 9, 1545, 658, 1545.0, 19342, 14.0, 2.2857142857142856
1000, 100, 50, 5, 99, 0.10011424408576633, 33, 100.0, 7, 3138, 1390, 3138.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.12127908505621171, 33, 100.0, 16, 1939, 1354, 1939.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.09997537143272989, 34, 100.0, 13, 1761, 590, 1761.0, 19342, 14.0, 2.4285714285714284
1000, 100, 50, 5, 99, 0.10012126251171549, 35, 100.0, 10, 1884, 868, 1884.0, 19342, 14.0, 2.5
1000, 100, 50, 5, 99, 0.13833527287212785, 33, 100.0, 19, 1758, 594, 1758.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.11710883703679957, 38, 100.0, 7, 2283, 1498, 2283.0, 19342, 14.0, 2.7142857142857144
1000, 100, 50, 5, 99, 0.09165284330258179, 42, 100.0, 9, 2440, 792, 2440.0, 19342, 14.0, 3.0
1000, 100, 50, 5, 99, 0.13164282661441035, 32, 100.0, 15, 2423, 972, 2423.0, 19342, 14.0, 2.2857142857142856
1000, 100, 50, 5, 99, 0.13784970161041804, 35, 100.0, 25, 1863, 542, 1863.0, 19342, 14.0, 2.5
1000, 100, 50, 5, 99, 0.11862491855590854, 37, 100.0, 15, 2350, 1534, 2350.0, 19342, 14.0, 2.642857142857143
1000, 100, 50, 5, 99, 0.13982780147171311, 33, 100.0, 13, 1178, 90, 1178.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.1109669866435991, 39, 100.0, 11, 1641, 396, 1641.0, 19342, 14.0, 2.7857142857142856
1000, 100, 50, 5, 99, 0.11822879237552397, 33, 100.0, 18, 2256, 1372, 2256.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.11857201361583024, 34, 100.0, 9, 2361, 798, 2361.0, 19342, 14.0, 2.4285714285714284
1000, 100, 50, 5, 99, 0.11275784675952433, 36, 100.0, 9, 2701, 1414, 2701.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.10221707668693202, 36, 100.0, 7, 1844, 436, 1844.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.12124027683479208, 39, 100.0, 18, 2313, 594, 2313.0, 19342, 14.0, 2.7857142857142856
1000, 100, 50, 5, 99, 0.11572690372047469, 32, 100.0, 22, 3293, 1954, 3293.0, 19342, 14.0, 2.2857142857142856
1000, 100, 50, 5, 99, 0.08921495853110228, 40, 100.0, 9, 1976, 832, 1976.0, 19342, 14.0, 2.857142857142857
1000, 100, 50, 5, 99, 0.11267067994291358, 31, 100.0, 6, 1543, 76, 1543.0, 19342, 14.0, 2.2142857142857144
1000, 100, 50, 5, 99, 0.09185002628806234, 36, 100.0, 19, 2781, 1850, 2781.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.11509336443780938, 33, 100.0, 5, 1385, 394, 1385.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.10630333463614512, 31, 100.0, 9, 1795, 630, 1795.0, 19342, 14.0, 2.2142857142857144
1000, 100, 50, 5, 99, 0.11133428233492042, 37, 100.0, 15, 1448, 396, 1448.0, 19342, 14.0, 2.642857142857143
1000, 100, 50, 5, 99, 0.11250455756745507, 38, 100.0, 19, 2001, 792, 2001.0, 19342, 14.0, 2.7142857142857144
1000, 100, 50, 5, 99, 0.1170857738271767, 36, 100.0, 14, 2100, 884, 2100.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.12147413880518403, 33, 100.0, 13, 1468, 266, 1468.0, 19342, 14.0, 2.357142857142857
1000, 100, 50, 5, 99, 0.10476947902568848, 35, 100.0, 12, 1810, 702, 1810.0, 19342, 14.0, 2.5
1000, 100, 50, 5, 99, 0.12042021542252164, 34, 100.0, 14, 1905, 162, 1905.0, 19342, 14.0, 2.4285714285714284
1000, 100, 50, 5, 99, 0.1389077638646012, 38, 100.0, 15, 1517, 226, 1517.0, 19342, 14.0, 2.7142857142857144
1000, 100, 50, 5, 99, 0.10002175180958055, 36, 100.0, 9, 2468, 1736, 2468.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.10389437792404618, 44, 100.0, 16, 2819, 1984, 2819.0, 19342, 14.0, 3.142857142857143
1000, 100, 50, 5, 99, 0.12183070694010781, 36, 100.0, 15, 8684, 6502, 8684.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.11256574346936342, 36, 100.0, 13, 2187, 994, 2187.0, 19342, 14.0, 2.5714285714285716
1000, 100, 50, 5, 99, 0.09863298983226293, 37, 100.0, 8, 1647, 198, 1647.0, 19342, 14.0, 2.642857142857143
