100	50	25.698	10.364740371976184
200	100	29.403	11.751034733096073
300	150	31.593	12.561964949312403
400	200	33.241	13.137329094215964
500	250	34.345	13.583616196844384
600	300	35.199	13.948259310432292
700	350	36.305	14.25656067008681
800	400	36.904	14.523623455335855
900	450	37.474	14.75918952664862
1000	500	38.282	14.969910557964273
1100	550	38.657	15.160530917572926
1200	600	39.143	15.334553671552182
1300	650	39.616	15.494639086899257
1400	700	39.971	15.642855031206699
1500	750	40.412	15.780840774180604
1600	800	40.8	15.909917816455746
1700	850	41.088	16.031167060088613
1800	900	41.399	16.145483887768513
1900	950	41.68	16.253618330309067
2000	1000	41.78	16.356204919084163
2100	1050	42.272	16.45378524742303
2200	1100	42.382	16.546825278692815
2300	1150	42.931	16.635728803834485
2400	1200	42.822	16.720848032672073
2500	1250	43.41	16.802492021712585
2600	1300	43.469	16.88093344801915
2700	1350	43.722	16.95641410398484
2800	1400	43.766	17.02914939232659
2900	1450	44.016	17.09933203194913
3000	1500	44.309	17.16713513530049
3100	1550	44.402	17.232714780946473
3200	1600	44.579	17.296212177575637
3300	1650	44.699	17.357755494909146
3400	1700	44.853	17.417461421208504
3500	1750	44.951	17.47543649495501
3600	1800	45.165	17.5317782488884
3700	1850	45.422	17.58657619726463
3800	1900	45.546	17.639912691428954
3900	1950	45.721	17.691863664235473
4000	2000	45.778	17.742499280204058
4100	2050	46.011	17.791884505384793
4200	2100	46.071	17.84007960854292
4300	2150	46.246	17.887140603363306
4400	2200	46.143	17.93311963981271
4500	2250	46.438	17.978065351516822
4600	2300	46.608	18.022023164954373
