41,97,90,278
1,99,90,287
86,106,90,303
29,118,90,344
12,120,90,350
14,120,90,350
47,122,90,329
52,126,90,335
38,128,90,349
42,128,90,357
43,128,90,366
36,130,90,358
71,130,90,356
3,131,90,381
72,133,90,396
89,134,90,372
57,135,90,377
66,135,90,392
26,137,90,389
78,138,90,381
22,140,90,361
32,141,90,394
59,142,90,405
74,143,90,408
62,146,90,402
50,147,90,387
0,148,90,447
4,150,90,423
44,151,90,407
83,151,90,396
48,152,90,427
77,152,90,426
70,154,90,412
16,158,90,465
34,162,90,453
27,165,90,472
49,165,90,455
68,166,90,459
80,166,90,466
21,167,90,500
75,167,90,454
24,169,90,472
76,170,90,481
11,171,90,486
5,174,90,487
54,174,90,500
51,175,90,468
30,176,90,492
64,176,90,464
84,178,90,485
6,182,90,510
55,182,90,487
15,183,90,506
35,183,90,532
81,183,90,496
45,184,90,518
2,186,90,508
53,186,90,512
69,187,90,499
23,190,90,524
18,191,90,546
28,195,90,560
39,195,90,523
13,196,90,551
10,198,90,564
40,198,90,556
82,198,90,543
79,200,90,550
37,206,90,565
17,211,90,582
20,214,90,609
63,216,90,604
46,217,90,612
67,217,90,598
25,221,90,597
61,221,90,624
7,224,90,624
8,226,90,655
58,226,90,633
87,232,90,639
85,234,90,650
56,235,90,611
73,236,90,639
33,244,90,677
31,249,90,687
9,250,90,691
65,254,90,712
19,257,90,699
88,261,90,729
60,281,90,773
